dataset,subject,n_bands,n_channels,n_trials,best_band,best_band_acc,acc_spread,band_acc,logvar_li_argmax,logvar_li_correct,logvar_li_rho,logvar_li_maxw,logvar_li_entropy,logvar_li_mi_max,logvar_li_acc_cost,logpower_argmax,logpower_correct,logpower_rho,logpower_maxw,logpower_entropy,logpower_mi_max,logpower_acc_cost,csp_argmax,csp_correct,csp_rho,csp_maxw,csp_entropy,csp_mi_max,csp_acc_cost
Lee2019-MI,14,7,62,100,4,0.63,0.15999999999999998,0.4800;0.4700;0.5600;0.5500;0.6300;0.5300;0.5600,2,0,0.3243374865704013,0.5882468579226385,1.1658784583018074,0.057715127103142715,0.06999999999999995,6,0,0.03603749850782236,0.297097296091105,1.850032384654046,0.03766103396312198,0.06999999999999995,4,1,0.5045249791095131,0.3824294159975146,1.4757313290440162,0.19139078851967536,0.0
Lee2019-MI,15,7,62,100,1,0.79,0.21999999999999997,0.6600;0.7900;0.6400;0.5700;0.6100;0.5700;0.6100,0,0,0.38188130791298674,0.8900090102713683,0.5396514064277693,0.09083753273826882,0.13000000000000012,5,0,-0.0363696483726654,0.19501331432995828,1.9046078226710108,0.04140688903531632,0.21999999999999997,1,1,0.2909571869813232,0.9939615581065651,0.045669931419659936,0.31248980655590214,0.0
Lee2019-MI,16,7,62,100,0,0.89,0.3699999999999999,0.8900;0.6000;0.5600;0.6200;0.6200;0.6800;0.5200,5,0,0.4865062298556019,0.2970545144725628,1.6112306715655134,0.04568187331988901,0.20999999999999996,2,0,0.12613124477737828,0.23383001177545257,1.8891069226118842,0.029695123249558232,0.32999999999999996,0,1,0.4865062298556019,0.5218130251865901,1.4067543782150507,0.17834493791514705,0.0
Lee2019-MI,17,7,62,100,4,0.69,0.21999999999999992,0.5200;0.5000;0.4700;0.5500;0.6900;0.6200;0.5100,3,0,0.07142857142857144,0.6769864385171253,1.062166302300774,0.06923896437697989,0.1399999999999999,0,0,-0.39285714285714296,0.27595361798829116,1.8719970924720832,0.029868250153087274,0.16999999999999993,4,1,0.39285714285714296,0.9358824383551702,0.25558866604873715,0.2678810793392904,0.0
Lee2019-MI,18,7,62,100,2,0.9200000000000002,0.4500000000000001,0.6400;0.7000;0.9200;0.4900;0.5600;0.7100;0.4700,2,1,0.7857142857142859,0.49865256976591615,1.4146179852957796,0.049431919569935166,0.0,5,0,0.8928571428571429,0.3262160852515261,1.820653002728992,0.03396190104866999,0.21000000000000008,2,1,0.42857142857142866,0.9903088234728294,0.06346679208592303,0.367173285661041,0.0
Lee2019-MI,19,7,62,100,1,0.6900000000000001,0.24000000000000005,0.5900;0.6900;0.5200;0.5700;0.6400;0.4500;0.4900,1,1,0.7567874686642697,0.8157025825407221,0.6441002569914493,0.08483742610044165,0.0,4,0,0.5714285714285715,0.22621820004413734,1.8774191433839544,0.02713529032764501,0.050000000000000044,0,0,0.3571428571428572,0.7440320658664805,0.7829901293763394,0.2787313538816711,0.09999999999999998
Lee2019-MI,20,7,62,100,3,0.66,0.1700000000000001,0.4900;0.6400;0.5600;0.6600;0.6300;0.5400;0.4900,2,0,-0.28571428571428575,0.405643890219383,1.6512303902272263,0.036317694409704705,0.09999999999999998,3,1,0.3571428571428572,0.18317842280022492,1.911064770556789,0.02570235050084616,0.0,0,0,-0.07142857142857144,0.9890015020401686,0.07035465411623308,0.2756447918908548,0.1700000000000001
Lee2019-MI,21,7,62,100,2,1.0,0.47,0.6300;0.6500;1.0000;0.5300;0.5700;0.7900;0.6400,6,0,-0.10714285714285716,0.8913370356511595,0.49074733871049414,0.08493953457561498,0.36,2,1,0.6071428571428572,0.9732571056476897,0.1681222345164,0.10738939309105847,0.0,2,1,0.5714285714285715,0.9938592105551763,0.038971027431835156,0.4414518819458092,0.0
Lee2019-MI,22,7,62,100,1,0.68,0.18000000000000005,0.6500;0.6800;0.5000;0.5100;0.5700;0.5400;0.5600,5,0,-0.07142857142857144,0.5902165038843405,1.3456328539695857,0.056063611951627644,0.14,0,0,0.25,0.22777603700402763,1.8899073296600704,0.0236981240631198,0.030000000000000027,2,0,-0.4642857142857144,0.8125518485027607,0.5217625458944637,0.3055352486846432,0.18000000000000005
Lee2019-MI,23,7,62,100,2,0.78,0.25,0.5400;0.7200;0.7800;0.7700;0.6300;0.7000;0.5300,3,0,0.03571428571428572,0.6727007601281008,1.1401718591830552,0.059241979879995466,0.010000000000000009,2,1,0.14285714285714288,0.18515919214953472,1.9202315829097305,0.024543148547163548,0.0,2,1,0.8571428571428573,0.7018644973220536,0.7294087508233975,0.3220095360601812,0.0
Lee2019-MI,24,7,62,100,1,0.65,0.17000000000000004,0.5000;0.6500;0.4800;0.5500;0.5400;0.5600;0.6100,4,0,0.03571428571428572,0.5775970192792087,1.1296071359132673,0.07312343502615663,0.10999999999999999,1,1,-0.07142857142857144,0.2427823756292459,1.870564677517379,0.03570802128658352,0.0,6,0,0.3214285714285715,0.6422889867936232,0.8523106453505978,0.32492842956734147,0.039999999999999925
Lee2019-MI,25,7,62,100,0,0.9800000000000001,0.22000000000000008,0.9800;0.8600;0.8500;0.7600;0.8200;0.8100;0.7900,4,0,0.14285714285714288,0.43456363137412857,1.6746464682332578,0.03355728216399837,0.16000000000000014,0,1,0.28571428571428575,0.22225383646143138,1.8859407337041303,0.03179670079575818,0.0,0,1,0.8214285714285715,0.9875295128764301,0.07618254926038145,0.389771349327885,0.0
Lee2019-MI,26,7,62,100,0,0.72,0.20999999999999996,0.7200;0.6800;0.5500;0.6100;0.5100;0.5400;0.5600,5,0,-0.21428571428571433,0.2926604799498977,1.7900103195556565,0.044732955074965476,0.17999999999999994,0,1,0.1785714285714286,0.18818286133663828,1.9033989862422458,0.028662893488324508,0.0,6,0,-0.1785714285714286,0.671888994119307,1.036763130169592,0.20811572273386678,0.16000000000000003
Lee2019-MI,27,7,62,100,1,0.7699999999999999,0.3199999999999999,0.7100;0.7700;0.6200;0.5600;0.5500;0.4500;0.5000,1,1,-0.03571428571428572,0.5944654745563099,1.327783049849819,0.06299847426148686,0.0,6,0,0.21428571428571433,0.23499796743981208,1.8899087522722149,0.036737528688354164,0.2699999999999999,1,1,0.7142857142857144,0.8144781333110791,0.6856204877899149,0.2324191455804206,0.0
Lee2019-MI,28,7,62,100,2,0.9700000000000001,0.44999999999999996,0.5400;0.8700;0.9700;0.5200;0.5900;0.6900;0.7000,0,0,-0.5714285714285715,0.8363316503188232,0.7081412461044426,0.07951097939899499,0.43000000000000016,2,1,0.03571428571428572,0.2879874100648616,1.851609759776453,0.03669941350819186,0.0,2,1,0.8928571428571429,0.7599919475348039,0.5521175522588879,0.393316594509983,0.0
Lee2019-MI,29,7,62,100,1,0.9800000000000001,0.02000000000000013,0.9600;0.9800;0.9700;0.9700;0.9700;0.9600;0.9600,6,0,-0.1928791874526149,0.8540536453310104,0.5115648865546774,0.2590354711693191,0.02000000000000013,4,0,-0.1543033499620919,0.4713525580450283,1.2351530978829448,0.15479595479641942,0.01000000000000012,6,0,-0.2700308624336608,0.5753980752516598,1.1085350065032644,0.611772024761956,0.02000000000000013
