dataset,subject,n_trials,n_channels,n_bands,FBCNet,fbcnet_seconds,fbcnet_params,FBCSP,FBCSP_seconds,FBCSP-L2,FBCSP-L2_seconds,AWFBCSP-published,AWFBCSP-published_seconds,AWFBCSP-reg,AWFBCSP-reg_seconds
Dreyer2023,7,240,27,5,0.6083333333333333,181.38733220100403,7362,0.725,4.153254747390747,0.6916666666666667,4.729072332382202,0.725,5.045161247253418,0.6958333333333333,4.710497140884399
Dreyer2023,8,240,27,5,0.5291666666666667,92.568030834198,7362,0.6833333333333333,4.084763050079346,0.6875000000000001,4.693036079406738,0.6833333333333333,5.005266427993774,0.6833333333333333,4.697066068649292
Dreyer2023,9,240,27,5,0.7333333333333333,175.17211627960205,7362,0.8083333333333333,4.06213116645813,0.7874999999999999,4.71137809753418,0.8166666666666667,5.016403913497925,0.7875000000000001,4.65763258934021
Dreyer2023,10,240,27,5,0.8708333333333332,168.28166007995605,7362,0.8791666666666667,4.071614027023315,0.8833333333333334,4.6903769969940186,0.8916666666666666,5.00883412361145,0.8833333333333332,4.672374963760376
Dreyer2023,11,240,27,5,0.6916666666666667,170.91676664352417,7362,0.7,4.066594123840332,0.7,4.686946630477905,0.7000000000000001,5.022541761398315,0.6583333333333333,4.689385890960693
Dreyer2023,12,240,27,5,0.75,158.9643738269806,7362,0.6583333333333333,4.05098032951355,0.6375,4.653762578964233,0.6583333333333333,4.998678684234619,0.6333333333333333,4.641638517379761
Dreyer2023,13,240,27,5,0.6875,137.9023187160492,7362,0.65,4.096031904220581,0.6833333333333333,4.664215326309204,0.625,5.010140895843506,0.6541666666666666,4.64284873008728
Dreyer2023,14,240,27,5,0.5083333333333333,64.5089840888977,7362,0.5875000000000001,4.063897132873535,0.6125,4.688486576080322,0.5958333333333334,4.996733665466309,0.5583333333333333,4.680878162384033
Dreyer2023,15,240,27,5,0.6791666666666667,131.29467034339905,7362,0.7583333333333333,4.070314645767212,0.75,4.648472785949707,0.7583333333333334,4.999433755874634,0.7416666666666667,4.689921855926514
Dreyer2023,16,240,27,5,0.575,71.80969047546387,7362,0.6416666666666666,4.071364164352417,0.6333333333333333,4.650464296340942,0.6291666666666667,5.020630598068237,0.6458333333333333,4.698686122894287
Dreyer2023,17,240,27,5,0.6541666666666667,79.31752467155457,7362,0.6333333333333334,4.059666156768799,0.6208333333333333,4.680339336395264,0.6333333333333334,5.217116832733154,0.6583333333333333,4.678974628448486
Dreyer2023,18,240,27,5,0.8833333333333334,178.55997490882874,7362,0.8666666666666666,4.070294141769409,0.8541666666666667,4.6920859813690186,0.8708333333333332,5.003357410430908,0.8125,4.642210006713867
Dreyer2023,19,240,27,5,0.95,209.1431806087494,7362,0.9375,4.084287166595459,0.9333333333333332,4.662543773651123,0.9375,4.98505711555481,0.9416666666666667,4.652510404586792
Dreyer2023,20,240,27,5,0.8666666666666668,155.69969964027405,7362,0.9,4.072445631027222,0.8958333333333334,4.64238429069519,0.9041666666666666,4.990602254867554,0.9125,4.663670063018799
Dreyer2023,21,240,27,5,0.7375,172.871737241745,7362,0.7083333333333333,4.072554588317871,0.6833333333333333,4.703656911849976,0.7208333333333333,5.008748292922974,0.6833333333333333,4.699153184890747
Dreyer2023,22,240,27,5,0.875,195.94683647155762,7362,0.8833333333333334,4.055785179138184,0.8375,4.681906700134277,0.8791666666666668,4.992574453353882,0.85,4.661280632019043
Dreyer2023,23,240,27,5,0.6041666666666667,68.4639847278595,7362,0.7375,4.057401657104492,0.7083333333333334,4.676265716552734,0.7208333333333334,5.013923406600952,0.7208333333333334,4.682574510574341
