dataset,subject,n_trials,n_channels,n_bands,tau,descriptor,entropy,deficit,max_w,mi_range,argmax_w,argmax_disc,peak_correct,weights,disc,g0.0,g0.5,g1.0,g2.0,g4.0,gain,gain_best,FBCSP,FBCSP+MIBIF,AWFBCSP-published,AWFBCSP-noweight,published_minus_noweight
Cho2017,12,200,64,7,0.015,csp,1.5543497674651656,0.3915603815901476,0.44975833293663153,0.0580758810919495,4,4,1,0.0094;0.0629;0.0916;0.0676;0.4498;0.1976;0.1213,0.1346;0.1631;0.1688;0.1642;0.1927;0.1803;0.1730,0.5800000000000001,0.5850000000000001,0.525,0.51,0.475,-0.05500000000000005,0.0050000000000000044,0.595,0.53,0.6,0.6,0.0
Cho2017,13,200,64,7,0.015,csp,1.5835046212345305,0.3624055278207827,0.31262358678024477,0.03839164682524862,3,3,1,0.0674;0.0276;0.2247;0.3126;0.2912;0.0523;0.0242,0.1694;0.1560;0.1875;0.1924;0.1914;0.1656;0.1540,0.8150000000000001,0.735,0.6799999999999999,0.655,0.6700000000000002,-0.13500000000000012,0.0,0.825,0.6849999999999999,0.8099999999999999,0.8099999999999999,0.0
Cho2017,14,200,64,7,0.015,csp,0.36367953446232415,1.582230614592989,0.8868055471063275,0.13954853308171425,1,1,1,0.0001;0.8868;0.0003;0.0003;0.1116;0.0008;0.0002,0.1426;0.2821;0.1608;0.1619;0.2510;0.1770;0.1520,0.8799999999999999,0.915,0.9099999999999999,0.905,0.8800000000000001,0.030000000000000027,0.03500000000000014,0.9,0.8949999999999999,0.905,0.905,0.0
Cho2017,15,200,64,7,0.015,csp,0.9484497792920603,0.9974603697632529,0.7386032552234626,0.07447993147203719,2,2,1,0.0052;0.1038;0.7386;0.0125;0.0746;0.0154;0.0499,0.1388;0.1838;0.2132;0.1521;0.1788;0.1552;0.1728,0.5599999999999999,0.5549999999999999,0.5349999999999999,0.505,0.51,-0.025000000000000022,0.0,0.5900000000000001,0.5700000000000001,0.57,0.57,0.0
Cho2017,16,200,64,7,0.015,csp,1.7084820947261872,0.23742805432912606,0.36219747343013753,0.027944281094122503,5,5,1,0.0562;0.0963;0.2220;0.0657;0.0585;0.3622;0.1391,0.1607;0.1688;0.1813;0.1630;0.1613;0.1887;0.1743,0.495,0.5,0.52,0.52,0.51,0.025000000000000022,0.025000000000000022,0.48500000000000004,0.5349999999999999,0.48500000000000004,0.48500000000000004,0.0
Cho2017,17,200,64,7,0.015,csp,1.7565500289661007,0.18936012008921255,0.3158410008630162,0.027261948433889016,2,2,1,0.0513;0.2339;0.3158;0.0764;0.1073;0.1480;0.0673,0.1331;0.1558;0.1603;0.1390;0.1442;0.1490;0.1372,0.43499999999999994,0.45,0.47000000000000003,0.49000000000000005,0.45999999999999996,0.03500000000000009,0.055000000000000104,0.44000000000000006,0.45499999999999996,0.43000000000000005,0.43000000000000005,0.0
Cho2017,18,200,64,7,0.015,csp,1.228164105117569,0.7177460439377443,0.5722213747922866,0.11021992686859541,5,5,1,0.0009;0.0004;0.0749;0.0499;0.1039;0.5722;0.1978,0.0963;0.0829;0.1627;0.1566;0.1676;0.1932;0.1772,0.575,0.525,0.51,0.53,0.565,-0.06499999999999995,0.0,0.5900000000000001,0.52,0.575,0.575,0.0
Cho2017,19,200,64,7,0.015,csp,1.254949393829218,0.6909607552260952,0.5399721841943966,0.09658396234877792,6,6,1,0.0009;0.0047;0.0464;0.0581;0.2428;0.1072;0.5400,0.0724;0.0979;0.1322;0.1355;0.1570;0.1447;0.1690,0.58,0.57,0.575,0.5549999999999999,0.545,-0.0050000000000000044,0.0,0.5900000000000001,0.5650000000000001,0.6050000000000001,0.6050000000000001,0.0
Cho2017,20,200,64,7,0.015,csp,1.4859911967105985,0.4599189523447147,0.5389550801817335,0.03787537535262697,1,1,1,0.1044;0.5390;0.0443;0.1001;0.0644;0.0431;0.1048,0.1570;0.1816;0.1441;0.1563;0.1497;0.1437;0.1570,0.625,0.5900000000000001,0.545,0.48500000000000004,0.47000000000000003,-0.07999999999999996,0.0,0.64,0.5549999999999999,0.6199999999999999,0.6199999999999999,0.0
Cho2017,21,200,64,7,0.015,csp,1.7033347730319093,0.24257537602340395,0.25390165183975166,0.053112183015219694,3,3,1,0.0646;0.0074;0.2503;0.2539;0.0925;0.1081;0.2232,0.1639;0.1314;0.1843;0.1845;0.1693;0.1717;0.1825,0.6249999999999999,0.6,0.58,0.585,0.575,-0.04499999999999993,0.0,0.615,0.5650000000000001,0.63,0.63,0.0
