dataset,subject,n_bands,n_channels,n_trials,best_band,best_band_acc,acc_spread,band_acc,logvar_li_argmax,logvar_li_correct,logvar_li_rho,logvar_li_maxw,logvar_li_entropy,logvar_li_mi_max,logvar_li_acc_cost,logpower_argmax,logpower_correct,logpower_rho,logpower_maxw,logpower_entropy,logpower_mi_max,logpower_acc_cost,csp_argmax,csp_correct,csp_rho,csp_maxw,csp_entropy,csp_mi_max,csp_acc_cost
Lee2019-MI,37,5,62,100,1,0.9800000000000001,0.43000000000000005,0.8500;0.9800;0.5500;0.6200;0.9600,1,1,0.8999999999999998,0.6672806040864566,1.0651396249584448,0.0445347149227302,0.0,1,1,0.7999999999999999,0.8977544936873235,0.4533138748347965,0.08122509980186314,0.0,0,0,0.7,0.5632128878033031,0.6931791870663478,0.4020584811509632,0.13000000000000012
Lee2019-MI,38,5,62,100,0,0.5700000000000001,0.10999999999999999,0.5700;0.5000;0.4600;0.5700;0.5700,0,1,0.11180339887498947,0.7562365286712115,0.7524461669601907,0.05922710906911929,0.0,1,0,-0.7826237921249264,0.2789608406145452,1.5747318432540824,0.02435277275619352,0.07000000000000006,4,0,-0.22360679774997894,0.4426931578683831,1.2805089494402409,0.31594586455933654,0.0
Lee2019-MI,39,5,62,100,2,0.73,0.1399999999999999,0.7200;0.6800;0.7300;0.6200;0.5900,3,0,-0.09999999999999999,0.5190878000882352,1.0554262446336669,0.04674503428746157,0.10999999999999999,3,0,-0.19999999999999998,0.2939735112450856,1.5682879080028744,0.026801783915894897,0.10999999999999999,2,1,0.9999999999999999,0.8946129365359707,0.4489110654072758,0.22952541834835508,0.0
Lee2019-MI,40,5,62,100,1,0.6199999999999999,0.15999999999999992,0.6100;0.6200;0.4800;0.5900;0.4600,0,0,-0.3,0.8298063131503083,0.6682383249764206,0.06093218645990802,0.009999999999999787,0,0,0.49999999999999994,0.36217320209691806,1.5358245654424416,0.031982511811427486,0.009999999999999787,2,0,0.3,0.5074139120810139,1.201363966560459,0.3149756619488745,0.1399999999999999
Lee2019-MI,41,5,62,100,2,0.69,0.16000000000000003,0.5900;0.5600;0.6900;0.5300;0.5800,0,0,-0.15389675281277312,0.8387306445407913,0.6485882076030562,0.05197401956602987,0.09999999999999987,2,1,0.7999999999999999,0.317331803640708,1.5447298656707638,0.031220869973455925,0.0,0,0,0.6,0.9916214696586303,0.0566986461740293,0.3264952034422924,0.09999999999999987
Lee2019-MI,42,5,62,100,1,0.65,0.18999999999999995,0.6300;0.6500;0.5900;0.4600;0.5800,4,0,-0.7999999999999999,0.6846736074343751,0.7475095357628041,0.06750004588806147,0.07000000000000006,0,0,0.19999999999999998,0.26647935581583754,1.593427352737564,0.021074783834266073,0.020000000000000018,1,1,0.6,0.8443737498797387,0.5379743791502603,0.2862189480689725,0.0
Lee2019-MI,43,5,62,100,1,0.8200000000000001,0.20999999999999996,0.6400;0.8200;0.6300;0.6100;0.7700,3,0,-0.7,0.44411846842999997,1.3592149322469664,0.03706453695255233,0.20999999999999996,4,0,0.19999999999999998,0.29333155827190877,1.5761996824239237,0.0279102173625318,0.050000000000000155,3,0,-0.3,0.7531853047616783,0.6785121709555462,0.32907944689861723,0.20999999999999996
Lee2019-MI,44,5,62,100,0,0.9200000000000002,0.3900000000000001,0.9200;0.7800;0.5300;0.9200;0.6100,3,0,0.19999999999999998,0.4915917134916863,1.3719215356109202,0.028447527539537942,2.220446049250313e-16,3,0,-0.09999999999999999,0.28914164906492423,1.5657472121558662,0.032210193345496574,2.220446049250313e-16,3,0,0.7999999999999999,0.7555249176100555,0.6271157013045688,0.2595256039385338,2.220446049250313e-16
Lee2019-MI,45,5,62,100,3,0.9099999999999999,0.42999999999999994,0.8200;0.4800;0.6200;0.9100;0.5700,3,1,0.39999999999999997,0.772679861288449,0.8493590467444997,0.04764073248274281,0.0,0,0,0.3,0.5571955697462507,1.2601168442883506,0.044604174110506184,0.08999999999999997,3,1,0.8999999999999998,0.5782412326300762,0.9657363067519283,0.2955044535356351,0.0
Lee2019-MI,46,5,62,100,4,0.68,0.12,0.6300;0.5700;0.5600;0.5900;0.6800,2,0,-0.7,0.7202726643517671,0.9753632636580136,0.044020496237506514,0.12,1,0,-0.19999999999999998,0.2533232165477279,1.5854888461169576,0.0227028733656609,0.10999999999999999,1,0,-0.7,0.9851607189086573,0.09182203277769248,0.23001220904429517,0.10999999999999999
